round_index,phase_index,direction,green_start_sec,green_selected_sec,green_end_sec,phase_end_sec,decision_weight,decision_counts,queue_counts
0,0,left,10.0018,6,16.003,21.0034,6.881,"{""down"": 4.976190476190476, ""left"": 6.8809523809523805, ""right"": 3.5476190476190474, ""up"": 6.6190476190476195}","{""down"": 10, ""left"": 12, ""right"": 7, ""up"": 12}"
0,1,up,21.0037,9,30.0082,35.0085,13.2222,"{""down"": 9.396825396825395, ""left"": 5.071428571428571, ""right"": 10.317460317460316, ""up"": 13.22222222222222}","{""down"": 18, ""left"": 9, ""right"": 19, ""up"": 24}"
0,2,down,35.0089,12,47.0125,52.0128,16.5556,"{""down"": 16.55555555555555, ""left"": 12.246031746031745, ""right"": 15.65079365079365, ""up"": 6.76984126984127}","{""down"": 32, ""left"": 23, ""right"": 29, ""up"": 13}"
0,3,right,52.0132,16,68.0186,73.019,22.3651,"{""down"": 7.087301587301588, ""left"": 20.785714285714285, ""right"": 22.365079365079364, ""up"": 17.53968253968254}","{""down"": 13, ""left"": 39, ""right"": 41, ""up"": 32}"
1,0,left,73.0194,22,95.0263,100.0266,30.1984,"{""down"": 23.293650793650794, ""left"": 30.198412698412707, ""right"": 4.603174603174604, ""up"": 28.150793650793656}","{""down"": 42, ""left"": 56, ""right"": 9, ""up"": 51}"
1,1,up,100.027,24,124.0333,129.036,46.1905,"{""down"": 38.095238095238095, ""left"": 3.6269841269841265, ""right"": 19.079365079365083, ""up"": 46.190476190476176}","{""down"": 69, ""left"": 7, ""right"": 36, ""up"": 84}"
1,2,down,129.0364,24,153.0451,158.047,46.0873,"{""down"": 46.08730158730156, ""left"": 17.81746031746032, ""right"": 29.222222222222218, ""up"": 9.206349206349206}","{""down"": 83, ""left"": 34, ""right"": 56, ""up"": 17}"
1,3,right,158.0473,23,181.053,186.0535,31.1825,"{""down"": 1.2380952380952381, ""left"": 20.317460317460316, ""right"": 31.182539682539673, ""up"": 10.277777777777777}","{""down"": 2, ""left"": 38, ""right"": 60, ""up"": 19}"
2,0,left,186.0539,15,201.0562,206.0572,20.3175,"{""down"": 1.2380952380952381, ""left"": 20.317460317460316, ""right"": 0, ""up"": 10.277777777777777}","{""down"": 2, ""left"": 38, ""right"": 0, ""up"": 19}"
2,1,up,206.0575,7,213.0579,218.0583,10.2778,"{""down"": 1.2380952380952381, ""left"": 0, ""right"": 0, ""up"": 10.277777777777777}","{""down"": 2, ""left"": 0, ""right"": 0, ""up"": 19}"
2,2,down,218.0586,6,224.0593,229.0596,1.2381,"{""down"": 1.2380952380952381, ""left"": 0, ""right"": 0, ""up"": 1.4603174603174602}","{""down"": 2, ""left"": 0, ""right"": 0, ""up"": 3}"
2,3,right,229.0598,6,235.0604,240.0607,0,"{""down"": 0, ""left"": 0, ""right"": 0, ""up"": 1.4603174603174602}","{""down"": 0, ""left"": 0, ""right"": 0, ""up"": 3}"
