label,total_vehicles,unique_vehicles,log_file_count,average_wait_time_sec,min_wait_time_sec,max_wait_time_sec,average_throughput_vehicles_per_file,average_wait_time_by_direction,average_wait_time_by_type,vehicles_by_type,vehicles_by_direction
priority_bottom_left_120,299,299,5,9.65,0.0,46.05,59.8,"{'right': 10.15, 'left': 9.42, 'down': 9.92, 'up': 9.27}","{'bike': 8.77, 'bus': 9.97, 'car': 9.96, 'truck': 9.88}","{'bike': 73, 'bus': 88, 'car': 66, 'truck': 72}","{'right': 43, 'left': 113, 'down': 91, 'up': 52}"
fixed_bottom_left_120,289,289,5,21.17,0.0,53.94,57.8,"{'down': 21.11, 'left': 19.82, 'up': 25.43, 'right': 19.12}","{'truck': 22.88, 'bike': 22.1, 'car': 20.32, 'bus': 19.04}","{'truck': 74, 'bike': 73, 'car': 84, 'bus': 58}","{'down': 87, 'left': 111, 'up': 54, 'right': 37}"
fixed_even_120,293,293,5,19.6,0.0,53.77,58.6,"{'right': 18.72, 'down': 17.93, 'left': 17.63, 'up': 23.42}","{'truck': 16.87, 'bus': 20.21, 'car': 19.16, 'bike': 21.56}","{'truck': 57, 'bus': 69, 'car': 89, 'bike': 78}","{'right': 53, 'down': 69, 'left': 85, 'up': 86}"
priority_even_120,301,301,5,9.54,0.0,45.33,60.2,"{'left': 8.06, 'right': 8.1, 'down': 11.92, 'up': 10.49}","{'car': 8.78, 'bike': 10.32, 'bus': 7.37, 'truck': 11.31}","{'car': 78, 'bike': 88, 'bus': 63, 'truck': 72}","{'left': 71, 'right': 90, 'down': 71, 'up': 69}"
priority_top_right_120,308,308,5,10.67,0.0,50.71,61.6,"{'up': 9.53, 'right': 8.14, 'down': 16.99, 'left': 12.67}","{'bus': 11.19, 'truck': 9.25, 'car': 10.97, 'bike': 11.28}","{'bus': 72, 'truck': 79, 'car': 73, 'bike': 84}","{'up': 116, 'right': 95, 'down': 41, 'left': 56}"
fixed_top_right_120,289,289,5,22.66,0.0,54.02,57.8,"{'right': 26.64, 'down': 17.41, 'left': 20.74, 'up': 22.84}","{'truck': 23.1, 'bus': 23.12, 'car': 22.44, 'bike': 21.98}","{'truck': 63, 'bus': 83, 'car': 68, 'bike': 75}","{'right': 67, 'down': 36, 'left': 53, 'up': 133}"
