round_index,phase_index,direction,green_start_sec,green_selected_sec,green_end_sec,phase_end_sec,decision_weight,decision_counts,queue_counts
0,0,down,10.0011,6,16.0015,21.0018,1.7778,"{""down"": 1.7777777777777777, ""left"": 0.5, ""right"": 0, ""up"": 0.5}","{""down"": 4, ""left"": 1, ""right"": 0, ""up"": 1}"
0,1,right,21.0021,6,27.0028,32.0032,1.0,"{""down"": 0.5714285714285714, ""left"": 0.9444444444444444, ""right"": 1.0, ""up"": 0.5}","{""down"": 1, ""left"": 2, ""right"": 2, ""up"": 1}"
0,2,up,32.0034,6,38.005,43.0055,1.5159,"{""down"": 0.5714285714285714, ""left"": 1.3888888888888888, ""right"": 0.9444444444444444, ""up"": 1.5158730158730158}","{""down"": 1, ""left"": 3, ""right"": 2, ""up"": 3}"
0,3,left,43.0057,6,49.0061,54.0065,1.8889,"{""down"": 2.253968253968254, ""left"": 1.8888888888888888, ""right"": 1.6111111111111112, ""up"": 0}","{""down"": 4, ""left"": 4, ""right"": 3, ""up"": 0}"
1,0,down,54.0067,6,60.0077,65.008,2.8254,"{""down"": 2.825396825396825, ""left"": 0.6666666666666666, ""right"": 2.0555555555555554, ""up"": 1.3333333333333333}","{""down"": 5, ""left"": 1, ""right"": 4, ""up"": 2}"
1,1,right,65.0084,6,71.0088,76.0092,3.2222,"{""down"": 0.6666666666666666, ""left"": 1.1111111111111112, ""right"": 3.222222222222222, ""up"": 1.9047619047619047}","{""down"": 1, ""left"": 2, ""right"": 6, ""up"": 3}"
1,2,up,76.0095,6,82.011,87.0119,3.4206,"{""down"": 1.1666666666666665, ""left"": 2.0555555555555554, ""right"": 0, ""up"": 3.42063492063492}","{""down"": 2, ""left"": 4, ""right"": 0, ""up"": 6}"
1,3,left,87.0123,6,93.013,98.0141,3.0714,"{""down"": 1.6666666666666665, ""left"": 3.071428571428571, ""right"": 0, ""up"": 0}","{""down"": 3, ""left"": 6, ""right"": 0, ""up"": 0}"
2,0,down,98.0143,6,104.0149,109.0152,2.2381,"{""down"": 2.238095238095238, ""left"": 0.5714285714285714, ""right"": 1.1111111111111112, ""up"": 0.5}","{""down"": 4, ""left"": 1, ""right"": 2, ""up"": 1}"
2,1,up,109.0155,6,115.016,120.0164,1.8333,"{""down"": 0, ""left"": 1.7380952380952381, ""right"": 1.7777777777777777, ""up"": 1.833333333333333}","{""down"": 0, ""left"": 3, ""right"": 3, ""up"": 3}"
2,2,left,120.0166,6,126.0183,131.0187,2.881,"{""down"": 1.0158730158730158, ""left"": 2.8809523809523805, ""right"": 2.444444444444444, ""up"": 0}","{""down"": 2, ""left"": 5, ""right"": 4, ""up"": 0}"
2,3,right,131.019,6,137.0209,142.0229,7.9127,"{""down"": 8.825396825396826, ""left"": 5.142857142857143, ""right"": 7.912698412698412, ""up"": 4.1269841269841265}","{""down"": 16, ""left"": 9, ""right"": 14, ""up"": 8}"
3,0,left,142.0232,10,152.0273,157.0276,14.381,"{""down"": 12.380952380952381, ""left"": 14.38095238095238, ""right"": 6.30952380952381, ""up"": 7.674603174603174}","{""down"": 23, ""left"": 27, ""right"": 11, ""up"": 14}"
3,1,down,157.0281,15,172.0323,177.0339,20.9048,"{""down"": 20.904761904761898, ""left"": 5.936507936507937, ""right"": 17.039682539682538, ""up"": 12.523809523809524}","{""down"": 39, ""left"": 11, ""right"": 31, ""up"": 23}"
3,2,right,177.0343,18,195.0373,200.0376,24.0952,"{""down"": 10.46031746031746, ""left"": 16.158730158730158, ""right"": 24.095238095238095, ""up"": 21.158730158730165}","{""down"": 19, ""left"": 30, ""right"": 45, ""up"": 39}"
3,3,up,200.038,24,224.0431,229.0446,33.8413,"{""down"": 23.873015873015877, ""left"": 26.976190476190478, ""right"": 5.396825396825396, ""up"": 33.84126984126985}","{""down"": 45, ""left"": 51, ""right"": 10, ""up"": 62}"
4,0,left,229.0449,24,253.0546,258.0569,43.1111,"{""down"": 35.92063492063491, ""left"": 43.111111111111086, ""right"": 19.999999999999996, ""up"": 11.539682539682538}","{""down"": 67, ""left"": 81, ""right"": 37, ""up"": 20}"
4,1,down,258.0595,24,282.065,287.0653,35.9206,"{""down"": 35.92063492063491, ""left"": 0, ""right"": 19.999999999999996, ""up"": 13.222222222222221}","{""down"": 67, ""left"": 0, ""right"": 37, ""up"": 23}"
4,2,right,287.0656,14,301.0666,306.0675,20.0,"{""down"": 0, ""left"": 0, ""right"": 19.999999999999996, ""up"": 13.222222222222221}","{""down"": 0, ""left"": 0, ""right"": 37, ""up"": 23}"
4,3,up,306.0677,9,315.07,320.0704,13.2222,"{""down"": 0, ""left"": 0, ""right"": 0, ""up"": 13.222222222222221}","{""down"": 0, ""left"": 0, ""right"": 0, ""up"": 23}"
