timestamp,direction
2025-10-10 09:23:54,up
2025-10-10 09:24:04,right
2025-10-10 09:24:14,left
2025-10-10 09:24:25,down
2025-10-10 09:24:35,up
2025-10-10 09:24:45,left
2025-10-10 09:24:55,right
2025-10-10 09:25:05,down
2025-10-10 09:25:15,up
2025-10-10 09:25:25,right
2025-10-10 09:25:35,down
2025-10-10 09:25:45,left
2025-10-10 09:25:55,up
2025-10-10 09:26:05,right
2025-10-10 09:26:15,down
2025-10-10 09:26:25,left
2025-10-10 09:26:35,up
2025-10-10 09:26:45,right
2025-10-10 09:26:55,down
2025-10-10 09:27:05,left
2025-10-10 09:27:15,up
2025-10-10 09:27:25,right
2025-10-10 09:27:35,down
2025-10-10 09:27:45,left
2025-10-10 09:27:55,right
2025-10-10 09:28:05,up
2025-10-10 09:28:15,down
2025-10-10 09:28:25,left
2025-10-10 09:28:35,right
2025-10-10 09:28:45,up
2025-10-10 09:28:55,down
2025-10-10 09:29:05,left
2025-10-10 09:29:15,up
2025-10-10 09:29:25,right
2025-10-10 09:29:35,down
2025-10-10 09:29:45,left
2025-10-10 09:29:55,up
2025-10-10 09:30:05,right
2025-10-10 09:30:15,down
2025-10-10 09:30:25,left
2025-10-10 09:30:35,right
2025-10-10 09:30:45,up
2025-10-10 09:30:55,down
2025-10-10 09:31:05,left
2025-10-10 09:31:15,right
2025-10-10 09:31:25,down
2025-10-10 09:31:35,up
2025-10-10 09:31:45,left
2025-10-10 09:31:55,right
2025-10-10 09:32:05,down
2025-10-10 09:32:15,up
2025-10-10 09:32:25,left
2025-10-10 09:32:35,down
2025-10-10 09:32:45,right
2025-10-10 09:32:55,up
2025-10-10 09:33:05,left
2025-10-10 09:33:15,down
2025-10-10 09:33:25,right
2025-10-10 09:33:35,up
2025-10-10 09:33:45,left
2025-10-10 09:33:55,up
2025-10-10 09:34:05,down
2025-10-10 09:34:15,right
2025-10-10 09:34:25,left
2025-10-10 09:34:35,up
2025-10-10 09:34:45,right
2025-10-10 09:34:55,down
2025-10-10 09:35:05,left
2025-10-10 09:35:15,up
2025-10-10 09:35:25,right
2025-10-10 09:35:35,down
2025-10-10 09:35:45,left
2025-10-10 09:35:55,up
2025-10-10 09:36:05,right
2025-10-10 09:36:15,down
2025-10-10 09:36:25,left
2025-10-10 09:36:35,up
2025-10-10 09:36:45,down
2025-10-10 09:36:55,right
2025-10-10 09:37:05,left
2025-10-10 09:37:15,down
2025-10-10 09:37:25,up
2025-10-10 09:37:35,right
2025-10-10 09:37:45,left
2025-10-10 09:37:55,up
2025-10-10 09:38:05,down
2025-10-10 09:38:15,right
2025-10-10 09:38:25,left
2025-10-10 09:38:35,up
2025-10-10 09:38:45,right
2025-10-10 09:38:55,down
2025-10-10 09:39:05,left
2025-10-10 09:39:15,up
2025-10-10 09:39:25,right
2025-10-10 09:39:35,down
2025-10-10 09:39:45,left
2025-10-10 09:39:55,right
2025-10-10 09:40:05,up
2025-10-10 09:40:15,down
2025-10-10 09:40:25,left
2025-10-10 09:40:35,right
2025-10-10 09:40:45,up
2025-10-10 09:40:55,down
2025-10-10 09:41:05,left
2025-10-10 09:41:15,right
2025-10-10 09:41:25,up
2025-10-10 09:41:35,down
2025-10-10 09:41:45,left
2025-10-10 09:41:55,right
2025-10-10 09:42:05,up
2025-10-10 09:42:15,down
2025-10-10 09:42:25,left
2025-10-10 09:42:35,right
2025-10-10 09:42:45,up
2025-10-10 09:42:55,down
2025-10-10 09:43:05,left
2025-10-10 09:43:15,right
2025-10-10 09:43:25,up
2025-10-10 09:43:35,down
