timestamp,direction
2025-10-10 09:45:53,right
2025-10-10 09:46:09,down
2025-10-10 09:46:25,left
2025-10-10 09:46:41,up
2025-10-10 09:46:57,right
2025-10-10 09:47:13,down
2025-10-10 09:47:29,left
2025-10-10 09:47:45,up
2025-10-10 09:48:01,right
2025-10-10 09:48:17,down
2025-10-10 09:48:33,left
2025-10-10 09:48:49,up
2025-10-10 09:49:05,right
2025-10-10 09:49:21,down
2025-10-10 09:49:37,left
2025-10-10 09:49:53,up
2025-10-10 09:50:09,right
2025-10-10 09:50:25,down
2025-10-10 09:50:41,left
2025-10-10 09:50:57,up
2025-10-10 09:51:13,right
2025-10-10 09:51:29,down
2025-10-10 09:51:45,left
2025-10-10 09:52:01,up
2025-10-10 09:52:17,right
2025-10-10 09:52:33,down
2025-10-10 09:52:49,left
2025-10-10 09:53:05,up
2025-10-10 09:53:21,right
2025-10-10 09:53:37,down
2025-10-10 09:53:53,left
2025-10-10 09:54:09,up
2025-10-10 09:54:25,right
2025-10-10 09:54:41,down
2025-10-10 09:54:57,left
2025-10-10 09:55:13,up
2025-10-10 09:55:29,right
2025-10-10 09:55:45,down
2025-10-10 09:56:01,left
2025-10-10 09:56:17,up
2025-10-10 09:56:33,right
2025-10-10 09:56:49,down
2025-10-10 09:57:05,left
2025-10-10 09:57:21,up
2025-10-10 09:57:37,right
2025-10-10 09:57:53,down
2025-10-10 09:58:09,left
2025-10-10 09:58:25,up
2025-10-10 09:58:41,right
2025-10-10 09:58:58,down
2025-10-10 09:59:14,left
2025-10-10 09:59:30,up
2025-10-10 09:59:46,right
2025-10-10 10:00:02,down
2025-10-10 10:00:18,left
2025-10-10 10:00:34,up
2025-10-10 10:00:50,right
2025-10-10 10:01:06,down
2025-10-10 10:01:22,left
2025-10-10 10:01:38,up
2025-10-10 10:01:54,right
2025-10-10 10:02:10,down
2025-10-10 10:02:26,left
2025-10-10 10:02:42,up
2025-10-10 10:02:58,right
2025-10-10 10:03:14,down
2025-10-10 10:03:30,left
2025-10-10 10:03:46,up
2025-10-10 10:04:02,right
2025-10-10 10:04:18,down
2025-10-10 10:04:34,left
2025-10-10 10:04:50,up
2025-10-10 10:05:06,right
2025-10-10 10:05:22,down
2025-10-10 10:05:38,left
