timestamp,direction
2025-10-10 09:24:05,left
2025-10-10 09:24:15,down
2025-10-10 09:24:25,up
2025-10-10 09:24:35,right
2025-10-10 09:24:45,down
2025-10-10 09:24:55,left
2025-10-10 09:25:05,up
2025-10-10 09:25:15,right
2025-10-10 09:25:25,left
2025-10-10 09:25:35,down
2025-10-10 09:25:45,up
2025-10-10 09:25:55,right
2025-10-10 09:26:05,left
2025-10-10 09:26:15,up
2025-10-10 09:26:25,down
2025-10-10 09:26:35,right
2025-10-10 09:26:45,down
2025-10-10 09:26:55,left
2025-10-10 09:27:05,up
2025-10-10 09:27:15,right
2025-10-10 09:27:25,left
2025-10-10 09:27:35,down
2025-10-10 09:27:45,up
2025-10-10 09:27:55,right
2025-10-10 09:28:05,left
2025-10-10 09:28:15,down
2025-10-10 09:28:25,up
2025-10-10 09:28:35,right
2025-10-10 09:28:45,left
2025-10-10 09:28:55,down
2025-10-10 09:29:05,up
2025-10-10 09:29:15,right
2025-10-10 09:29:25,left
2025-10-10 09:29:35,down
2025-10-10 09:29:45,up
2025-10-10 09:29:55,right
2025-10-10 09:30:05,down
2025-10-10 09:30:15,up
2025-10-10 09:30:25,left
2025-10-10 09:30:35,right
2025-10-10 09:30:45,left
2025-10-10 09:30:55,down
2025-10-10 09:31:05,up
2025-10-10 09:31:15,right
2025-10-10 09:31:25,left
2025-10-10 09:31:35,up
2025-10-10 09:31:45,down
2025-10-10 09:31:55,right
2025-10-10 09:32:05,left
2025-10-10 09:32:15,up
2025-10-10 09:32:25,down
2025-10-10 09:32:35,right
2025-10-10 09:32:45,left
2025-10-10 09:32:55,down
2025-10-10 09:33:05,up
2025-10-10 09:33:15,right
2025-10-10 09:33:25,left
2025-10-10 09:33:35,down
2025-10-10 09:33:45,right
2025-10-10 09:33:55,up
2025-10-10 09:34:05,left
2025-10-10 09:34:15,down
2025-10-10 09:34:25,right
2025-10-10 09:34:35,up
2025-10-10 09:34:45,left
2025-10-10 09:34:55,down
2025-10-10 09:35:05,up
2025-10-10 09:35:15,right
2025-10-10 09:35:25,down
2025-10-10 09:35:35,left
2025-10-10 09:35:45,up
2025-10-10 09:35:55,right
2025-10-10 09:36:05,down
2025-10-10 09:36:15,left
2025-10-10 09:36:25,right
2025-10-10 09:36:35,up
2025-10-10 09:36:45,down
2025-10-10 09:36:55,left
2025-10-10 09:37:05,right
2025-10-10 09:37:15,up
2025-10-10 09:37:25,left
2025-10-10 09:37:36,right
2025-10-10 09:37:46,down
2025-10-10 09:37:56,up
2025-10-10 09:38:06,left
2025-10-10 09:38:16,down
2025-10-10 09:38:26,right
2025-10-10 09:38:36,up
2025-10-10 09:38:46,left
2025-10-10 09:38:56,down
2025-10-10 09:39:06,up
2025-10-10 09:39:16,right
2025-10-10 09:39:26,left
2025-10-10 09:39:36,up
2025-10-10 09:39:46,down
2025-10-10 09:39:56,right
2025-10-10 09:40:06,left
2025-10-10 09:40:16,up
2025-10-10 09:40:26,down
2025-10-10 09:40:36,right
2025-10-10 09:40:46,up
2025-10-10 09:40:56,left
2025-10-10 09:41:06,down
2025-10-10 09:41:16,right
2025-10-10 09:41:26,up
2025-10-10 09:41:36,left
2025-10-10 09:41:46,down
2025-10-10 09:41:56,right
2025-10-10 09:42:06,up
2025-10-10 09:42:16,down
2025-10-10 09:42:26,left
2025-10-10 09:42:36,right
2025-10-10 09:42:46,up
2025-10-10 09:42:56,down
2025-10-10 09:43:06,left
2025-10-10 09:43:16,right
2025-10-10 09:43:26,left
2025-10-10 09:43:36,up
2025-10-10 09:43:46,down
