timestamp,direction
2025-10-10 09:45:56,right
2025-10-10 09:46:12,down
2025-10-10 09:46:28,left
2025-10-10 09:46:44,up
2025-10-10 09:47:00,right
2025-10-10 09:47:16,down
2025-10-10 09:47:32,left
2025-10-10 09:47:48,up
2025-10-10 09:48:04,right
2025-10-10 09:48:20,down
2025-10-10 09:48:36,left
2025-10-10 09:48:52,up
2025-10-10 09:49:08,right
2025-10-10 09:49:24,down
2025-10-10 09:49:40,left
2025-10-10 09:49:56,up
2025-10-10 09:50:12,right
2025-10-10 09:50:28,down
2025-10-10 09:50:44,left
2025-10-10 09:51:00,up
2025-10-10 09:51:16,right
2025-10-10 09:51:32,down
2025-10-10 09:51:48,left
2025-10-10 09:52:04,up
2025-10-10 09:52:20,right
2025-10-10 09:52:36,down
2025-10-10 09:52:52,left
2025-10-10 09:53:08,up
2025-10-10 09:53:24,right
2025-10-10 09:53:40,down
2025-10-10 09:53:56,left
2025-10-10 09:54:12,up
2025-10-10 09:54:28,right
2025-10-10 09:54:44,down
2025-10-10 09:55:00,left
2025-10-10 09:55:16,up
2025-10-10 09:55:32,right
2025-10-10 09:55:48,down
2025-10-10 09:56:04,left
2025-10-10 09:56:20,up
2025-10-10 09:56:36,right
2025-10-10 09:56:52,down
2025-10-10 09:57:08,left
2025-10-10 09:57:24,up
2025-10-10 09:57:40,right
2025-10-10 09:57:56,down
2025-10-10 09:58:13,left
2025-10-10 09:58:29,up
2025-10-10 09:58:45,right
2025-10-10 09:59:01,down
2025-10-10 09:59:17,left
2025-10-10 09:59:33,up
2025-10-10 09:59:49,right
2025-10-10 10:00:05,down
2025-10-10 10:00:21,left
2025-10-10 10:00:37,up
2025-10-10 10:00:53,right
2025-10-10 10:01:09,down
2025-10-10 10:01:25,left
2025-10-10 10:01:41,up
2025-10-10 10:01:57,right
2025-10-10 10:02:13,down
2025-10-10 10:02:29,left
2025-10-10 10:02:45,up
2025-10-10 10:03:01,right
2025-10-10 10:03:17,down
2025-10-10 10:03:33,left
2025-10-10 10:03:49,up
2025-10-10 10:04:05,right
2025-10-10 10:04:21,down
2025-10-10 10:04:37,left
2025-10-10 10:04:53,up
2025-10-10 10:05:09,right
2025-10-10 10:05:25,down
2025-10-10 10:05:41,left
