timestamp,direction
2026-09-10 02:20:49,up
2026-09-10 02:21:00,down
2026-09-10 02:21:11,left
2026-09-10 02:21:22,right
2026-09-10 02:21:33,up
2026-09-10 02:21:48,down
2026-09-10 02:22:01,left
2026-09-10 02:22:15,right
2026-09-10 02:22:31,up
2026-09-10 02:22:47,left
2026-09-10 02:22:59,down
2026-09-10 02:23:12,right
2026-09-10 02:23:23,down
2026-09-10 02:23:34,up
2026-09-10 02:23:45,left
2026-09-10 02:23:56,right
2026-09-10 02:24:07,down
2026-09-10 02:24:18,up
2026-09-10 02:24:29,left
2026-09-10 02:24:40,right
2026-09-10 02:24:51,up
2026-09-10 02:25:02,right
2026-09-10 02:25:13,left
2026-09-10 02:25:25,down
2026-09-10 02:25:38,right
2026-09-10 02:25:52,up
2026-09-10 02:26:07,left
2026-09-10 02:26:22,down
2026-09-10 02:26:35,right
2026-09-10 02:26:46,up
2026-09-10 02:26:57,left
