round_index,phase_index,direction,green_start_sec,green_selected_sec,green_end_sec,phase_end_sec,decision_weight,decision_counts,queue_counts
0,0,up,10.0019,6,16.0023,21.0027,3.3095,"{""down"": 3.142857142857143, ""left"": 3.2222222222222223, ""right"": 2.349206349206349, ""up"": 3.3095238095238093}","{""down"": 5, ""left"": 6, ""right"": 4, ""up"": 6}"
0,1,down,21.003,6,27.0034,32.0038,7.7857,"{""down"": 7.7857142857142865, ""left"": 5.722222222222223, ""right"": 3.7936507936507935, ""up"": 2.920634920634921}","{""down"": 13, ""left"": 11, ""right"": 7, ""up"": 5}"
0,2,left,32.0041,6,38.0045,43.0049,7.8095,"{""down"": 1.1666666666666665, ""left"": 7.80952380952381, ""right"": 5.904761904761905, ""up"": 7.579365079365079}","{""down"": 2, ""left"": 15, ""right"": 11, ""up"": 14}"
0,3,right,43.0052,6,49.007,54.0074,8.2143,"{""down"": 4.119047619047619, ""left"": 2.333333333333333, ""right"": 8.214285714285714, ""up"": 12.238095238095237}","{""down"": 7, ""left"": 4, ""right"": 15, ""up"": 22}"
1,0,up,54.0077,10,64.0087,69.0091,14.3651,"{""down"": 7.468253968253968, ""left"": 6.031746031746031, ""right"": 2.253968253968254, ""up"": 14.365079365079364}","{""down"": 13, ""left"": 11, ""right"": 4, ""up"": 26}"
1,1,down,69.0094,8,77.0099,82.0115,11.8492,"{""down"": 11.849206349206348, ""left"": 8.658730158730158, ""right"": 6.976190476190477, ""up"": 4.531746031746031}","{""down"": 20, ""left"": 16, ""right"": 12, ""up"": 8}"
1,2,left,82.0118,9,91.0144,96.0148,12.873,"{""down"": 3.2698412698412698, ""left"": 12.873015873015872, ""right"": 11.285714285714285, ""up"": 6.365079365079366}","{""down"": 6, ""left"": 23, ""right"": 20, ""up"": 12}"
1,3,right,96.0151,11,107.0167,112.017,14.8571,"{""down"": 5.4523809523809526, ""left"": 2.253968253968254, ""right"": 14.857142857142854, ""up"": 10.674603174603176}","{""down"": 10, ""left"": 4, ""right"": 26, ""up"": 21}"
2,0,up,112.0174,11,123.0195,128.0199,15.9286,"{""down"": 7.396825396825397, ""left"": 7.4682539682539675, ""right"": 1.6111111111111112, ""up"": 15.928571428571427}","{""down"": 14, ""left"": 14, ""right"": 3, ""up"": 31}"
2,1,left,128.0202,7,135.0219,140.0238,10.6667,"{""down"": 9.452380952380953, ""left"": 10.666666666666664, ""right"": 4.492063492063492, ""up"": 0.6666666666666666}","{""down"": 18, ""left"": 20, ""right"": 8, ""up"": 1}"
2,2,down,140.024,8,148.0247,153.0251,10.9524,"{""down"": 10.952380952380953, ""left"": 0.4444444444444444, ""right"": 4.936507936507937, ""up"": 1.611111111111111}","{""down"": 21, ""left"": 1, ""right"": 9, ""up"": 3}"
2,3,right,153.0253,6,159.0257,164.0261,6.381,"{""down"": 0.6666666666666666, ""left"": 0.4444444444444444, ""right"": 6.380952380952381, ""up"": 2.0555555555555554}","{""down"": 1, ""left"": 1, ""right"": 12, ""up"": 4}"
3,0,down,164.0264,6,170.0268,175.0279,2.5714,"{""down"": 2.571428571428571, ""left"": 1.5555555555555554, ""right"": 0, ""up"": 2.5555555555555554}","{""down"": 4, ""left"": 3, ""right"": 0, ""up"": 5}"
3,1,up,175.0281,6,181.0286,186.029,3.127,"{""down"": 0.5, ""left"": 2.222222222222222, ""right"": 1.2380952380952381, ""up"": 3.1269841269841265}","{""down"": 1, ""left"": 4, ""right"": 2, ""up"": 6}"
3,2,left,186.0292,6,192.0296,197.03,2.2222,"{""down"": 1.5714285714285714, ""left"": 2.222222222222222, ""right"": 1.6825396825396823, ""up"": 0.5714285714285714}","{""down"": 3, ""left"": 4, ""right"": 3, ""up"": 1}"
3,3,right,197.0302,6,203.0309,208.0312,2.127,"{""down"": 1.5714285714285714, ""left"": 0, ""right"": 2.126984126984127, ""up"": 1.7142857142857142}","{""down"": 3, ""left"": 0, ""right"": 4, ""up"": 3}"
4,0,down,208.0315,6,214.0319,219.0323,3.0873,"{""down"": 3.087301587301587, ""left"": 0.5, ""right"": 0.5714285714285714, ""up"": 2.380952380952381}","{""down"": 6, ""left"": 1, ""right"": 1, ""up"": 4}"
4,1,up,219.0325,6,225.034,230.0343,3.3968,"{""down"": 0.9444444444444444, ""left"": 0.5, ""right"": 0.5714285714285714, ""up"": 3.3968253968253967}","{""down"": 2, ""left"": 1, ""right"": 1, ""up"": 6}"
4,2,left,230.0346,6,236.035,241.0361,1.8333,"{""down"": 1.8333333333333333, ""left"": 1.833333333333333, ""right"": 1.6428571428571428, ""up"": 0}","{""down"": 4, ""left"": 3, ""right"": 3, ""up"": 0}"
4,3,right,241.0364,6,247.0369,252.0372,2.754,"{""down"": 2.5, ""left"": 0.9444444444444444, ""right"": 2.753968253968254, ""up"": 0.5714285714285714}","{""down"": 5, ""left"": 2, ""right"": 5, ""up"": 1}"
5,0,up,252.0374,6,258.039,263.0394,4.881,"{""down"": 3.6428571428571432, ""left"": 3.6269841269841265, ""right"": 1.5873015873015872, ""up"": 4.8809523809523805}","{""down"": 7, ""left"": 7, ""right"": 3, ""up"": 9}"
5,1,right,263.0397,6,269.0406,274.0409,7.881,"{""down"": 6.3650793650793664, ""left"": 5.309523809523809, ""right"": 7.8809523809523805, ""up"": 0.5}","{""down"": 12, ""left"": 10, ""right"": 14, ""up"": 1}"
5,2,left,274.0413,7,281.0418,286.0429,10.4524,"{""down"": 7.753968253968256, ""left"": 10.45238095238095, ""right"": 3.9761904761904763, ""up"": 1.833333333333333}","{""down"": 15, ""left"": 20, ""right"": 7, ""up"": 3}"
5,3,down,286.0432,8,294.0447,299.0463,10.7698,"{""down"": 10.769841269841272, ""left"": 3.071428571428571, ""right"": 6.952380952380952, ""up"": 5.30952380952381}","{""down"": 21, ""left"": 5, ""right"": 13, ""up"": 10}"
6,0,right,299.0467,9,308.048,313.0484,12.1508,"{""down"": 1.0714285714285714, ""left"": 5.325396825396825, ""right"": 12.15079365079365, ""up"": 9.452380952380953}","{""down"": 2, ""left"": 9, ""right"": 22, ""up"": 18}"
6,1,up,313.0487,10,323.0494,328.0513,14.6429,"{""down"": 3.7698412698412698, ""left"": 8.285714285714286, ""right"": 3.6984126984126977, ""up"": 14.64285714285714}","{""down"": 7, ""left"": 15, ""right"": 7, ""up"": 27}"
6,2,left,328.0517,10,338.0535,343.054,13.4286,"{""down"": 10.325396825396826, ""left"": 13.428571428571429, ""right"": 5.253968253968254, ""up"": 2.4761904761904763}","{""down"": 19, ""left"": 25, ""right"": 10, ""up"": 4}"
6,3,down,343.0542,8,351.0548,356.0552,11.9365,"{""down"": 11.936507936507937, ""left"": 1.1428571428571428, ""right"": 8.142857142857144, ""up"": 7.03968253968254}","{""down"": 22, ""left"": 2, ""right"": 16, ""up"": 13}"
7,0,right,356.0554,6,362.0559,367.0562,8.1429,"{""down"": 0, ""left"": 1.1428571428571428, ""right"": 8.142857142857144, ""up"": 7.03968253968254}","{""down"": 0, ""left"": 2, ""right"": 16, ""up"": 13}"
