timestamp,direction
2025-10-11 05:28:53,left
2025-10-11 05:29:04,right
2025-10-11 05:29:17,up
2025-10-11 05:29:28,down
2025-10-11 05:29:39,left
2025-10-11 05:30:02,right
2025-10-11 05:30:28,up
2025-10-11 05:30:46,down
2025-10-11 05:31:06,left
2025-10-11 05:31:35,right
2025-10-11 05:32:04,up
2025-10-11 05:32:18,down
2025-10-11 05:32:35,left
2025-10-11 05:33:04,right
2025-10-11 05:33:33,up
2025-10-11 05:33:49,down
2025-10-11 05:34:03,left
2025-10-11 05:34:32,right
2025-10-11 05:35:01,up
2025-10-11 05:35:24,down
2025-10-11 05:35:43,left
2025-10-11 05:36:13,right
2025-10-11 05:36:42,up
2025-10-11 05:36:56,down
2025-10-11 05:37:11,right
2025-10-11 05:37:40,left
2025-10-11 05:38:09,up
2025-10-11 05:38:25,down
2025-10-11 05:38:43,right
