timestamp,direction
2025-10-01 21:09:58,up
2025-10-01 21:10:08,down
2025-10-01 21:10:18,left
2025-10-01 21:10:28,right
2025-10-01 21:10:38,up
2025-10-01 21:10:48,down
2025-10-01 21:10:58,left
2025-10-01 21:11:08,right
2025-10-01 21:11:18,down
2025-10-01 21:11:28,up
2025-10-01 21:11:38,left
2025-10-01 21:11:48,right
2025-10-01 21:11:58,down
2025-10-01 21:12:08,up
2025-10-01 21:12:18,left
2025-10-01 21:12:28,right
2025-10-01 21:12:38,down
2025-10-01 21:12:48,left
2025-10-01 21:12:58,up
2025-10-01 21:13:08,right
2025-10-01 21:13:18,down
2025-10-01 21:13:28,left
2025-10-01 21:13:38,up
2025-10-01 21:13:48,right
2025-10-01 21:13:58,down
2025-10-01 21:14:08,left
2025-10-01 21:14:18,up
2025-10-01 21:14:28,right
2025-10-01 21:14:38,down
2025-10-01 21:14:48,up
2025-10-01 21:14:58,left
2025-10-01 21:15:08,right
2025-10-01 21:15:18,down
2025-10-01 21:15:28,up
2025-10-01 21:15:38,left
2025-10-01 21:15:48,right
2025-10-01 21:15:58,down
2025-10-01 21:16:08,up
2025-10-01 21:16:18,left
2025-10-01 21:16:28,right
2025-10-01 21:16:38,up
2025-10-01 21:16:48,left
2025-10-01 21:16:58,down
2025-10-01 21:17:08,right
2025-10-01 21:17:18,up
2025-10-01 21:17:28,left
2025-10-01 21:17:38,down
2025-10-01 21:17:48,right
2025-10-01 21:17:58,up
2025-10-01 21:18:08,left
2025-10-01 21:18:18,down
2025-10-01 21:18:28,right
2025-10-01 21:18:38,up
2025-10-01 21:18:48,left
2025-10-01 21:18:58,down
2025-10-01 21:19:08,right
2025-10-01 21:19:18,left
2025-10-01 21:19:28,up
2025-10-01 21:19:38,down
2025-10-01 21:19:48,right
