timestamp,direction
2025-10-01 21:20:39,down
2025-10-01 21:20:49,up
2025-10-01 21:20:59,right
2025-10-01 21:21:09,left
2025-10-01 21:21:19,down
2025-10-01 21:21:29,up
2025-10-01 21:21:39,right
2025-10-01 21:21:49,left
2025-10-01 21:21:59,down
2025-10-01 21:22:09,up
2025-10-01 21:22:19,left
2025-10-01 21:22:29,right
2025-10-01 21:22:39,down
2025-10-01 21:22:49,up
2025-10-01 21:22:59,right
2025-10-01 21:23:09,left
2025-10-01 21:23:19,down
2025-10-01 21:23:29,up
2025-10-01 21:23:39,right
2025-10-01 21:23:49,left
2025-10-01 21:23:59,up
2025-10-01 21:24:09,down
2025-10-01 21:24:19,left
2025-10-01 21:24:29,right
2025-10-01 21:24:39,up
2025-10-01 21:24:49,down
2025-10-01 21:24:59,left
2025-10-01 21:25:09,right
2025-10-01 21:25:19,up
2025-10-01 21:25:29,left
2025-10-01 21:25:39,down
2025-10-01 21:25:49,right
2025-10-01 21:25:59,left
2025-10-01 21:26:09,up
2025-10-01 21:26:19,down
2025-10-01 21:26:29,right
2025-10-01 21:26:39,left
2025-10-01 21:26:49,up
2025-10-01 21:26:59,down
2025-10-01 21:27:09,right
2025-10-01 21:27:19,left
2025-10-01 21:27:29,up
2025-10-01 21:27:39,down
2025-10-01 21:27:49,right
2025-10-01 21:27:59,up
2025-10-01 21:28:09,left
2025-10-01 21:28:19,down
2025-10-01 21:28:29,right
2025-10-01 21:28:39,up
2025-10-01 21:28:49,left
2025-10-01 21:28:59,down
2025-10-01 21:29:09,right
2025-10-01 21:29:19,up
2025-10-01 21:29:29,left
2025-10-01 21:29:39,down
2025-10-01 21:29:49,right
2025-10-01 21:29:59,up
2025-10-01 21:30:09,left
2025-10-01 21:30:19,down
2025-10-01 21:30:29,right
