timestamp,direction
2025-10-01 21:31:08,left
2025-10-01 21:31:18,up
2025-10-01 21:31:28,right
2025-10-01 21:31:38,down
2025-10-01 21:31:48,up
2025-10-01 21:31:58,left
2025-10-01 21:32:08,right
2025-10-01 21:32:18,down
2025-10-01 21:32:28,up
2025-10-01 21:32:38,left
2025-10-01 21:32:48,right
2025-10-01 21:32:58,down
2025-10-01 21:33:08,left
2025-10-01 21:33:18,up
2025-10-01 21:33:28,right
2025-10-01 21:33:38,down
2025-10-01 21:33:48,up
2025-10-01 21:33:58,right
2025-10-01 21:34:08,left
2025-10-01 21:34:18,down
2025-10-01 21:34:28,right
2025-10-01 21:34:38,up
2025-10-01 21:34:48,left
2025-10-01 21:34:58,down
2025-10-01 21:35:08,up
2025-10-01 21:35:18,right
2025-10-01 21:35:28,left
2025-10-01 21:35:38,down
2025-10-01 21:35:48,right
2025-10-01 21:35:58,up
