timestamp,direction
2025-10-01 21:31:17,up
2025-10-01 21:31:27,down
2025-10-01 21:31:37,right
2025-10-01 21:31:47,left
2025-10-01 21:31:57,down
2025-10-01 21:32:07,up
2025-10-01 21:32:17,right
2025-10-01 21:32:27,left
2025-10-01 21:32:37,down
2025-10-01 21:32:47,up
2025-10-01 21:32:57,right
2025-10-01 21:33:07,left
2025-10-01 21:33:17,down
2025-10-01 21:33:27,up
2025-10-01 21:33:37,right
2025-10-01 21:33:47,left
2025-10-01 21:33:57,up
2025-10-01 21:34:07,down
2025-10-01 21:34:17,left
2025-10-01 21:34:27,right
2025-10-01 21:34:37,up
2025-10-01 21:34:47,down
2025-10-01 21:34:57,left
2025-10-01 21:35:07,right
2025-10-01 21:35:17,up
2025-10-01 21:35:27,down
2025-10-01 21:35:37,left
2025-10-01 21:35:47,right
2025-10-01 21:35:57,up
2025-10-01 21:36:07,down
