timestamp,direction
2025-09-30 12:40:30,right
2025-09-30 12:40:30,right
2025-09-30 12:40:50,down
2025-09-30 12:40:51,down
2025-09-30 12:41:10,left
2025-09-30 12:41:11,left
2025-09-30 12:41:30,up
2025-09-30 12:41:31,up
2025-09-30 12:41:50,right
2025-09-30 12:41:51,right
2025-09-30 12:42:10,down
2025-09-30 12:42:11,down
2025-09-30 12:42:30,left
2025-09-30 12:42:31,left
2025-09-30 12:42:50,up
2025-09-30 12:42:51,up
2025-09-30 12:43:10,right
2025-09-30 12:43:11,right
2025-09-30 12:43:30,down
2025-09-30 12:43:31,down
2025-09-30 12:43:50,left
2025-09-30 12:43:51,left
2025-09-30 12:44:10,up
2025-09-30 12:44:11,up
2025-09-30 12:44:30,right
2025-09-30 12:44:31,right
2025-09-30 12:44:50,down
2025-09-30 12:44:51,down
2025-09-30 12:45:10,left
2025-09-30 12:45:11,left
