round_index,phase_index,direction,green_start_sec,green_selected_sec,green_end_sec,phase_end_sec,decision_weight,decision_counts,queue_counts
0,0,right,10.0017,24,34.0049,39.0052,2.3492,"{""down"": 3.142857142857143, ""left"": 3.2222222222222223, ""right"": 2.349206349206349, ""up"": 3.3095238095238093}","{""down"": 5, ""left"": 6, ""right"": 4, ""up"": 6}"
0,1,down,39.0055,24,63.0101,68.0105,11.5397,"{""down"": 11.539682539682538, ""left"": 8.30952380952381, ""right"": 1.8095238095238093, ""up"": 15.992063492063489}","{""down"": 20, ""left"": 16, ""right"": 3, ""up"": 29}"
0,2,left,68.0108,24,92.0184,97.0194,16.9683,"{""down"": 3.142857142857143, ""left"": 16.96825396825397, ""right"": 8.746031746031745, ""up"": 23.98412698412699}","{""down"": 5, ""left"": 32, ""right"": 15, ""up"": 43}"
0,3,up,97.0198,24,121.0286,126.0321,30.127,"{""down"": 9.095238095238095, ""left"": 2.8809523809523805, ""right"": 17.738095238095237, ""up"": 30.12698412698413}","{""down"": 16, ""left"": 5, ""right"": 31, ""up"": 56}"
1,0,right,126.0324,24,150.0381,155.0393,24.8413,"{""down"": 12.65079365079365, ""left"": 10.222222222222221, ""right"": 24.841269841269852, ""up"": 0.6666666666666666}","{""down"": 23, ""left"": 19, ""right"": 44, ""up"": 1}"
1,1,down,155.0396,24,179.0431,184.0446,16.373,"{""down"": 16.37301587301587, ""left"": 10.222222222222221, ""right"": 0.5, ""up"": 2.0555555555555554}","{""down"": 30, ""left"": 19, ""right"": 1, ""up"": 4}"
1,2,left,184.0449,24,208.0491,213.0507,12.0,"{""down"": 1.0714285714285714, ""left"": 11.999999999999996, ""right"": 1.7380952380952381, ""up"": 4.865079365079365}","{""down"": 2, ""left"": 22, ""right"": 3, ""up"": 9}"
1,3,up,213.0509,24,237.0552,242.0556,7.246,"{""down"": 3.158730158730158, ""left"": 0, ""right"": 3.1984126984126986, ""up"": 7.246031746031745}","{""down"": 6, ""left"": 0, ""right"": 6, ""up"": 13}"
2,0,right,242.056,24,266.0627,271.0645,6.0476,"{""down"": 5.658730158730159, ""left"": 2.849206349206349, ""right"": 6.0476190476190474, ""up"": 0.5714285714285714}","{""down"": 11, ""left"": 5, ""right"": 11, ""up"": 1}"
2,1,down,271.0647,24,295.0667,300.067,10.4127,"{""down"": 10.412698412698415, ""left"": 11.119047619047619, ""right"": 2.9761904761904763, ""up"": 6.420634920634921}","{""down"": 20, ""left"": 21, ""right"": 5, ""up"": 12}"
2,2,left,300.0673,24,324.0733,329.0737,18.0159,"{""down"": 1.0714285714285714, ""left"": 18.015873015873016, ""right"": 12.15079365079365, ""up"": 15.373015873015872}","{""down"": 2, ""left"": 33, ""right"": 22, ""up"": 29}"
2,3,up,329.0739,24,353.0765,358.077,23.4444,"{""down"": 10.325396825396826, ""left"": 3.253968253968254, ""right"": 17.976190476190478, ""up"": 23.444444444444443}","{""down"": 19, ""left"": 6, ""right"": 33, ""up"": 43}"
3,0,right,358.0772,24,382.0811,387.0819,20.8651,"{""down"": 11.936507936507937, ""left"": 5.5396825396825395, ""right"": 20.865079365079367, ""up"": 0}","{""down"": 22, ""left"": 10, ""right"": 39, ""up"": 0}"
3,1,down,387.0821,24,411.0845,416.0849,11.9365,"{""down"": 11.936507936507937, ""left"": 5.5396825396825395, ""right"": 0, ""up"": 0}","{""down"": 22, ""left"": 10, ""right"": 0, ""up"": 0}"
