timestamp,direction
2025-10-11 06:45:13,right
2025-10-11 06:45:30,down
2025-10-11 06:45:47,left
2025-10-11 06:46:04,up
2025-10-11 06:46:21,right
2025-10-11 06:46:38,down
2025-10-11 06:46:55,left
2025-10-11 06:47:12,up
2025-10-11 06:47:29,right
2025-10-11 06:47:46,down
2025-10-11 06:48:03,left
2025-10-11 06:48:20,up
2025-10-11 06:48:37,right
2025-10-11 06:48:54,down
2025-10-11 06:49:11,left
2025-10-11 06:49:28,up
2025-10-11 06:49:45,right
2025-10-11 06:50:02,down
2025-10-11 06:50:19,left
2025-10-11 06:50:36,up
2025-10-11 06:50:53,right
2025-10-11 06:51:10,down
2025-10-11 06:51:27,left
2025-10-11 06:51:44,up
2025-10-11 06:52:01,right
2025-10-11 06:52:18,down
2025-10-11 06:52:35,left
2025-10-11 06:52:52,up
2025-10-11 06:53:09,right
2025-10-11 06:53:26,down
2025-10-11 06:53:43,left
2025-10-11 06:54:00,up
2025-10-11 06:54:17,right
2025-10-11 06:54:34,down
2025-10-11 06:54:51,left
