label,total_vehicles,unique_vehicles,log_file_count,average_wait_time_sec,min_wait_time_sec,max_wait_time_sec,average_throughput_vehicles_per_file,average_wait_time_by_direction,average_wait_time_by_type,vehicles_by_type,vehicles_by_direction
fixed_even_1200,11804,11804,10,21.83,0.0,55.45,1180.4,"{'right': 21.12, 'down': 21.67, 'left': 22.39, 'up': 22.13}","{'bike': 21.91, 'car': 21.65, 'bus': 21.5, 'truck': 22.23}","{'bike': 3034, 'car': 2891, 'bus': 2829, 'truck': 3050}","{'right': 2919, 'down': 2960, 'left': 2969, 'up': 2956}"
priority_even_1200,11775,11775,10,14.67,0.0,52.59,1177.5,"{'left': 14.87, 'up': 14.76, 'down': 14.73, 'right': 14.31}","{'car': 14.69, 'truck': 14.44, 'bus': 14.64, 'bike': 14.89}","{'car': 2950, 'truck': 2912, 'bus': 2882, 'bike': 3031}","{'left': 2858, 'up': 3069, 'down': 2944, 'right': 2904}"
fixed_even_300,8383,8383,30,21.35,0.0,56.09,279.43,"{'right': 20.42, 'down': 20.0, 'left': 22.42, 'up': 22.66}","{'bike': 21.77, 'truck': 21.29, 'car': 21.02, 'bus': 21.31}","{'bike': 2126, 'truck': 2078, 'car': 2040, 'bus': 2139}","{'right': 2055, 'down': 2208, 'left': 2134, 'up': 1986}"
priority_even_300,8497,8497,30,14.26,0.0,53.44,283.23,"{'up': 14.27, 'right': 14.29, 'down': 14.19, 'left': 14.3}","{'bus': 14.28, 'car': 14.38, 'truck': 13.9, 'bike': 14.5}","{'bus': 2162, 'car': 2005, 'truck': 2178, 'bike': 2152}","{'up': 2122, 'right': 2072, 'down': 2168, 'left': 2135}"
priority_even_600,11620,11620,20,14.74,0.0,53.48,581.0,"{'up': 14.63, 'right': 14.86, 'left': 14.67, 'down': 14.78}","{'truck': 14.84, 'bus': 14.29, 'bike': 15.25, 'car': 14.6}","{'truck': 2923, 'bus': 2992, 'bike': 2858, 'car': 2847}","{'up': 2914, 'right': 2930, 'left': 2848, 'down': 2928}"
fixed_even_600,11471,11471,20,21.15,0.0,56.25,573.55,"{'right': 20.66, 'down': 20.81, 'left': 20.63, 'up': 22.48}","{'bike': 21.18, 'truck': 21.34, 'car': 20.91, 'bus': 21.19}","{'bike': 2790, 'truck': 2900, 'car': 2896, 'bus': 2885}","{'right': 3057, 'down': 2712, 'left': 2772, 'up': 2930}"
priority_even_900,8823,8823,10,14.59,0.0,62.56,882.3,"{'right': 14.61, 'down': 14.18, 'left': 14.66, 'up': 14.93}","{'bike': 14.93, 'truck': 14.28, 'car': 14.4, 'bus': 14.75}","{'bike': 2225, 'truck': 2285, 'car': 2169, 'bus': 2144}","{'right': 2183, 'down': 2235, 'left': 2256, 'up': 2149}"
fixed_even_900,8764,8764,10,21.38,0.0,55.96,876.4,"{'right': 21.18, 'down': 20.99, 'left': 21.36, 'up': 22.02}","{'car': 21.27, 'bike': 21.36, 'truck': 21.31, 'bus': 21.6}","{'car': 2177, 'bike': 2255, 'truck': 2145, 'bus': 2187}","{'right': 2226, 'down': 2183, 'left': 2198, 'up': 2157}"
