label,log_file_count,average_cycle_time_by_direction
fixed_even_120,12,"{'right': 64.0, 'down': 64.0, 'left': 64.0, 'up': 64.0}"
priority_even_120,12,"{'left': 34.31, 'up': 35.14, 'right': 31.5, 'down': 32.39}"
