round_index,phase_index,direction,green_start_sec,green_selected_sec,green_end_sec,phase_end_sec,decision_weight,decision_counts,queue_counts
0,0,up,10.0011,6,16.0021,21.0025,1.3333,"{""down"": 1.0158730158730158, ""left"": 0.5714285714285714, ""right"": 0.5, ""up"": 1.3333333333333333}","{""down"": 2, ""left"": 1, ""right"": 1, ""up"": 2}"
0,1,down,21.0028,6,27.0038,32.0041,2.254,"{""down"": 2.253968253968254, ""left"": 1.1428571428571428, ""right"": 1.6666666666666665, ""up"": 0}","{""down"": 4, ""left"": 2, ""right"": 3, ""up"": 0}"
0,2,right,32.0043,6,38.0048,43.0065,3.3333,"{""down"": 0.5, ""left"": 1.6428571428571428, ""right"": 3.333333333333333, ""up"": 0}","{""down"": 1, ""left"": 3, ""right"": 6, ""up"": 0}"
0,3,left,43.0068,6,49.0072,54.0077,2.0873,"{""down"": 1.7380952380952381, ""left"": 2.087301587301587, ""right"": 0.9444444444444444, ""up"": 0}","{""down"": 3, ""left"": 4, ""right"": 2, ""up"": 0}"
1,0,down,54.0079,6,60.0084,65.0087,3.0714,"{""down"": 3.071428571428571, ""left"": 1.6825396825396826, ""right"": 1.4444444444444444, ""up"": 0}","{""down"": 5, ""left"": 3, ""right"": 3, ""up"": 0}"
1,1,left,65.009,6,71.0095,76.0104,3.5873,"{""down"": 0.4444444444444444, ""left"": 3.587301587301587, ""right"": 1.4444444444444444, ""up"": 0}","{""down"": 1, ""left"": 6, ""right"": 3, ""up"": 0}"
1,2,right,76.0106,6,82.0111,87.0114,2.3889,"{""down"": 2.2222222222222223, ""left"": 0.5714285714285714, ""right"": 2.388888888888889, ""up"": 0}","{""down"": 4, ""left"": 1, ""right"": 5, ""up"": 0}"
1,3,up,87.0118,6,93.0123,98.0131,0.8889,"{""down"": 2.666666666666667, ""left"": 1.5158730158730158, ""right"": 0, ""up"": 0.8888888888888888}","{""down"": 5, ""left"": 3, ""right"": 0, ""up"": 2}"
2,0,down,98.0133,6,104.0137,109.014,3.3333,"{""down"": 3.333333333333333, ""left"": 1.9603174603174602, ""right"": 1.2380952380952381, ""up"": 0.4444444444444444}","{""down"": 6, ""left"": 4, ""right"": 2, ""up"": 1}"
2,1,left,109.0143,6,115.0147,120.0151,3.6984,"{""down"": 0, ""left"": 3.698412698412698, ""right"": 1.2380952380952381, ""up"": 1.1111111111111112}","{""down"": 0, ""left"": 7, ""right"": 2, ""up"": 2}"
2,2,up,120.0153,6,126.0165,131.0173,2.754,"{""down"": 1.2380952380952381, ""left"": 0, ""right"": 1.2380952380952381, ""up"": 2.753968253968254}","{""down"": 2, ""left"": 0, ""right"": 2, ""up"": 5}"
2,3,right,131.0176,6,137.018,142.0189,6.0476,"{""down"": 3.571428571428571, ""left"": 3.936507936507936, ""right"": 6.0476190476190474, ""up"": 1.1111111111111112}","{""down"": 6, ""left"": 7, ""right"": 11, ""up"": 2}"
3,0,left,142.0192,6,148.0207,153.021,7.5794,"{""down"": 7.214285714285714, ""left"": 7.579365079365079, ""right"": 1.0158730158730158, ""up"": 3.238095238095238}","{""down"": 13, ""left"": 13, ""right"": 2, ""up"": 6}"
3,1,down,153.0213,8,161.0218,166.0238,10.9127,"{""down"": 10.912698412698413, ""left"": 1.5555555555555554, ""right"": 2.1825396825396823, ""up"": 6.658730158730159}","{""down"": 20, ""left"": 3, ""right"": 4, ""up"": 13}"
3,2,up,166.024,7,173.0245,178.0249,9.9127,"{""down"": 1.1666666666666665, ""left"": 7.1190476190476195, ""right"": 5.436507936507936, ""up"": 9.912698412698413}","{""down"": 2, ""left"": 13, ""right"": 10, ""up"": 19}"
3,3,right,178.0252,7,185.0265,190.0271,9.9683,"{""down"": 2.1666666666666665, ""left"": 13.499999999999998, ""right"": 9.968253968253968, ""up"": 1.1666666666666665}","{""down"": 4, ""left"": 24, ""right"": 18, ""up"": 2}"
4,0,left,190.0273,12,202.0291,207.0295,17.254,"{""down"": 5.547619047619047, ""left"": 17.253968253968253, ""right"": 2.4999999999999996, ""up"": 3.571428571428571}","{""down"": 10, ""left"": 31, ""right"": 4, ""up"": 6}"
4,1,down,207.0298,8,215.0318,220.0321,10.7302,"{""down"": 10.73015873015873, ""left"": 0.5, ""right"": 5.944444444444445, ""up"": 10.103174603174603}","{""down"": 20, ""left"": 1, ""right"": 11, ""up"": 18}"
4,2,up,220.0324,9,229.0331,234.0343,13.2302,"{""down"": 1.0714285714285714, ""left"": 2.015873015873016, ""right"": 11.468253968253968, ""up"": 13.23015873015873}","{""down"": 2, ""left"": 4, ""right"": 21, ""up"": 24}"
4,3,right,234.0346,11,245.0376,250.0388,15.9286,"{""down"": 5.5317460317460325, ""left"": 6.158730158730158, ""right"": 15.928571428571425, ""up"": 1.5158730158730158}","{""down"": 10, ""left"": 11, ""right"": 29, ""up"": 3}"
5,0,left,250.0391,9,259.0398,264.0401,12.5556,"{""down"": 11.769841269841269, ""left"": 12.555555555555555, ""right"": 6.309523809523809, ""up"": 8.190476190476192}","{""down"": 22, ""left"": 23, ""right"": 12, ""up"": 15}"
5,1,down,264.0404,16,280.0454,285.0458,21.5,"{""down"": 21.500000000000004, ""left"": 5.158730158730159, ""right"": 9.95238095238095, ""up"": 17.49206349206349}","{""down"": 40, ""left"": 9, ""right"": 18, ""up"": 32}"
5,2,up,285.0461,19,304.0581,309.0585,25.7222,"{""down"": 7.984126984126984, ""left"": 19.190476190476193, ""right"": 18.015873015873012, ""up"": 25.72222222222223}","{""down"": 15, ""left"": 36, ""right"": 34, ""up"": 47}"
5,3,right,309.0588,15,324.0601,329.0604,21.2937,"{""down"": 10.666666666666666, ""left"": 20.523809523809526, ""right"": 21.29365079365079, ""up"": 0}","{""down"": 20, ""left"": 38, ""right"": 41, ""up"": 0}"
6,0,left,329.0608,15,344.0621,349.0624,20.5238,"{""down"": 10.666666666666666, ""left"": 20.523809523809526, ""right"": 0, ""up"": 0}","{""down"": 20, ""left"": 38, ""right"": 0, ""up"": 0}"
