timestamp,vehicle_id,vehicle_type,direction,mode
2025-06-22 01:19:20,130266754049584,car,right,fixed
2025-06-22 01:19:23,130266754049680,bus,right,fixed
2025-06-22 01:19:33,130266754049776,bike,down,fixed
2025-06-22 01:19:33,130266754050016,bike,down,fixed
2025-06-22 01:19:33,130266754050064,bike,down,fixed
2025-06-22 01:19:34,130266754049536,car,down,fixed
2025-06-22 01:19:35,130266754050208,car,down,fixed
2025-06-22 01:19:40,130266754048672,bike,down,fixed
2025-06-22 01:19:50,130266755789216,car,left,fixed
2025-06-22 01:19:50,130266754050352,bike,left,fixed
2025-06-22 01:19:50,130266754049104,truck,left,fixed
2025-06-22 01:19:51,130266754049632,bus,left,fixed
2025-06-22 01:19:52,130266754050160,bike,left,fixed
2025-06-22 01:19:53,130266754049968,truck,left,fixed
2025-06-22 01:19:55,130266754050448,truck,left,fixed
2025-06-22 01:19:58,130266754050496,bus,left,fixed
2025-06-22 01:20:07,130266777508112,car,up,fixed
2025-06-22 01:20:07,130266754049824,car,up,fixed
2025-06-22 01:20:07,130266754050112,bike,up,fixed
2025-06-22 01:20:08,130266754050256,bike,up,fixed
2025-06-22 01:20:08,130266754049200,bus,up,fixed
2025-06-22 01:20:08,130266754049920,truck,up,fixed
2025-06-22 01:20:09,130266754050304,bus,up,fixed
2025-06-22 01:20:10,130266754049728,bus,up,fixed
2025-06-22 01:20:10,130266777346000,bus,up,fixed
2025-06-22 01:20:11,130266754050784,truck,up,fixed
2025-06-22 01:20:12,130266754048000,car,up,fixed
2025-06-22 01:20:12,130266754050592,bus,up,fixed
2025-06-22 01:20:12,130266754050688,truck,up,fixed
2025-06-22 01:20:13,130266754049440,car,up,fixed
2025-06-22 02:13:27,123974539207856,car,right,fixed
2025-06-22 02:13:29,123974539208384,car,right,fixed
2025-06-22 02:13:35,123974539208528,truck,right,fixed
2025-06-22 02:13:42,123974539208576,truck,down,fixed
2025-06-22 02:13:42,123974539208912,bus,down,fixed
2025-06-22 02:13:46,123974539208048,car,down,fixed
2025-06-22 02:13:59,123974539208672,bike,left,fixed
2025-06-22 02:13:59,123974539208768,bike,left,fixed
2025-06-22 02:14:00,123974539208816,bike,left,fixed
2025-06-22 02:14:01,123974539208960,truck,left,fixed
2025-06-22 02:14:03,123974539209344,bus,left,fixed
2025-06-22 02:14:08,123974539209728,bike,left,fixed
