round_index,phase_index,direction,green_start_sec,green_selected_sec,green_end_sec,phase_end_sec,decision_weight,decision_counts,queue_counts
0,0,left,10.0012,6,16.003,21.0044,6.1825,"{""down"": 5.396825396825396, ""left"": 6.182539682539683, ""right"": 6.158730158730159, ""up"": 5.023809523809523}","{""down"": 10, ""left"": 10, ""right"": 12, ""up"": 9}"
0,1,up,21.0047,9,30.0066,35.007,12.3492,"{""down"": 10.706349206349206, ""left"": 3.6190476190476186, ""right"": 12.134920634920634, ""up"": 12.349206349206348}","{""down"": 20, ""left"": 6, ""right"": 23, ""up"": 23}"
0,2,down,35.0074,15,50.01,55.0103,20.4444,"{""down"": 20.44444444444445, ""left"": 11.515873015873016, ""right"": 17.238095238095237, ""up"": 5.134920634920634}","{""down"": 37, ""left"": 21, ""right"": 33, ""up"": 9}"
0,3,right,55.0106,19,74.0138,79.015,26.2302,"{""down"": 6.8730158730158735, ""left"": 25.126984126984127, ""right"": 26.230158730158717, ""up"": 16.642857142857142}","{""down"": 12, ""left"": 46, ""right"": 50, ""up"": 30}"
1,0,left,79.0155,24,103.0277,108.0283,40.5635,"{""down"": 17.396825396825395, ""left"": 40.56349206349204, ""right"": 6.809523809523809, ""up"": 28.777777777777793}","{""down"": 31, ""left"": 74, ""right"": 13, ""up"": 52}"
1,1,up,108.0287,24,132.0389,137.0393,38.0952,"{""down"": 36.67460317460318, ""left"": 13.730158730158731, ""right"": 22.436507936507944, ""up"": 38.095238095238095}","{""down"": 67, ""left"": 26, ""right"": 41, ""up"": 69}"
1,2,down,137.0398,24,161.0437,166.0441,41.8889,"{""down"": 41.88888888888887, ""left"": 22.968253968253965, ""right"": 33.37301587301588, ""up"": 6.079365079365079}","{""down"": 77, ""left"": 43, ""right"": 61, ""up"": 11}"
1,3,right,166.0444,24,190.0509,195.0522,33.373,"{""down"": 0, ""left"": 22.968253968253965, ""right"": 33.37301587301588, ""up"": 6.079365079365079}","{""down"": 0, ""left"": 43, ""right"": 61, ""up"": 11}"
2,0,left,195.0525,17,212.0538,217.0543,22.9683,"{""down"": 0, ""left"": 22.968253968253965, ""right"": 0, ""up"": 6.079365079365079}","{""down"": 0, ""left"": 43, ""right"": 0, ""up"": 11}"
2,1,up,217.0557,6,223.0561,228.0564,6.0794,"{""down"": 0, ""left"": 0, ""right"": 0, ""up"": 6.079365079365079}","{""down"": 0, ""left"": 0, ""right"": 0, ""up"": 11}"
2,2,right,228.0566,6,234.0572,239.0576,0,"{""down"": 0, ""left"": 0, ""right"": 0, ""up"": 2.087301587301587}","{""down"": 0, ""left"": 0, ""right"": 0, ""up"": 4}"
2,3,down,239.0578,6,245.0582,250.0586,0,"{""down"": 0, ""left"": 0, ""right"": 0, ""up"": 2.087301587301587}","{""down"": 0, ""left"": 0, ""right"": 0, ""up"": 4}"
