round_index,phase_index,direction,green_start_sec,green_selected_sec,green_end_sec,phase_end_sec,decision_weight,decision_counts,queue_counts
0,0,right,10.0014,24,34.0032,39.0036,3.0159,"{""down"": 1.1428571428571428, ""left"": 2.5555555555555554, ""right"": 3.015873015873016, ""up"": 5.015873015873016}","{""down"": 2, ""left"": 5, ""right"": 5, ""up"": 9}"
0,1,down,39.0039,24,63.0061,68.0065,8.627,"{""down"": 8.626984126984127, ""left"": 11.746031746031743, ""right"": 0.6666666666666666, ""up"": 12.436507936507935}","{""down"": 16, ""left"": 22, ""right"": 1, ""up"": 23}"
0,2,left,68.0068,24,92.0114,97.0132,19.5873,"{""down"": 1.7142857142857142, ""left"": 19.587301587301585, ""right"": 7.007936507936508, ""up"": 21.17460317460318}","{""down"": 3, ""left"": 37, ""right"": 13, ""up"": 39}"
0,3,up,97.0136,24,121.0261,126.0265,34.3254,"{""down"": 7.9682539682539675, ""left"": 2.849206349206349, ""right"": 12.579365079365079, ""up"": 34.32539682539683}","{""down"": 15, ""left"": 5, ""right"": 23, ""up"": 62}"
1,0,right,126.0269,24,150.0313,155.0316,17.5,"{""down"": 14.499999999999998, ""left"": 11.674603174603174, ""right"": 17.499999999999996, ""up"": 1.833333333333333}","{""down"": 27, ""left"": 21, ""right"": 32, ""up"": 3}"
1,1,down,155.0319,24,179.0384,184.0388,16.4603,"{""down"": 16.46031746031746, ""left"": 11.674603174603174, ""right"": 1.2380952380952381, ""up"": 2.2777777777777777}","{""down"": 31, ""left"": 21, ""right"": 2, ""up"": 4}"
1,2,left,184.0391,24,208.0465,213.0482,13.7302,"{""down"": 0.6666666666666666, ""left"": 13.730158730158728, ""right"": 2.880952380952381, ""up"": 4.388888888888888}","{""down"": 1, ""left"": 25, ""right"": 5, ""up"": 8}"
1,3,up,213.0485,24,237.0532,242.0539,7.4603,"{""down"": 0.6666666666666666, ""left"": 0, ""right"": 6.174603174603175, ""up"": 7.4603174603174605}","{""down"": 1, ""left"": 0, ""right"": 11, ""up"": 14}"
2,0,right,242.0542,24,266.0565,271.0569,8.873,"{""down"": 3.293650793650793, ""left"": 3.5476190476190474, ""right"": 8.873015873015873, ""up"": 0.6666666666666666}","{""down"": 6, ""left"": 6, ""right"": 16, ""up"": 1}"
2,1,down,271.0571,24,295.0595,300.0598,11.0079,"{""down"": 11.007936507936506, ""left"": 10.523809523809524, ""right"": 3.0, ""up"": 9.73015873015873}","{""down"": 20, ""left"": 18, ""right"": 6, ""up"": 17}"
2,2,left,300.0604,24,324.0685,329.0688,20.7698,"{""down"": 1.8333333333333333, ""left"": 20.76984126984127, ""right"": 8.714285714285714, ""up"": 17.365079365079364}","{""down"": 3, ""left"": 36, ""right"": 17, ""up"": 31}"
2,3,up,329.0691,24,353.0757,358.0779,23.4524,"{""down"": 13.817460317460316, ""left"": 1.1111111111111112, ""right"": 15.166666666666664, ""up"": 23.45238095238096}","{""down"": 24, ""left"": 2, ""right"": 29, ""up"": 43}"
3,0,right,358.0782,24,382.0817,387.0821,18.2381,"{""down"": 15.055555555555554, ""left"": 5.380952380952381, ""right"": 18.238095238095234, ""up"": 0}","{""down"": 26, ""left"": 10, ""right"": 35, ""up"": 0}"
3,1,down,387.0824,24,411.0854,416.0858,15.0556,"{""down"": 15.055555555555554, ""left"": 5.380952380952381, ""right"": 0, ""up"": 0}","{""down"": 26, ""left"": 10, ""right"": 0, ""up"": 0}"
