round_index,phase_index,direction,green_start_sec,green_selected_sec,green_end_sec,phase_end_sec,decision_weight,decision_counts,queue_counts
0,0,right,10.0016,24,34.0042,39.0049,0,"{""down"": 1.7777777777777777, ""left"": 0.5, ""right"": 0, ""up"": 0.5}","{""down"": 4, ""left"": 1, ""right"": 0, ""up"": 1}"
0,1,down,39.0051,24,63.0078,68.0081,3.4603,"{""down"": 3.4603174603174605, ""left"": 1.8888888888888888, ""right"": 0.6666666666666666, ""up"": 1.5158730158730158}","{""down"": 7, ""left"": 4, ""right"": 1, ""up"": 3}"
0,2,left,68.0084,24,92.0117,97.0121,3.5,"{""down"": 1.1666666666666665, ""left"": 3.5, ""right"": 2.2777777777777777, ""up"": 3.92063492063492}","{""down"": 2, ""left"": 7, ""right"": 4, ""up"": 7}"
0,3,up,97.0123,24,121.0161,126.0165,6.5476,"{""down"": 2.238095238095238, ""left"": 0.6666666666666666, ""right"": 3.3888888888888884, ""up"": 6.547619047619047}","{""down"": 4, ""left"": 1, ""right"": 6, ""up"": 12}"
1,0,right,126.0168,24,150.0223,155.0227,8.119,"{""down"": 7.15873015873016, ""left"": 7.928571428571428, ""right"": 8.11904761904762, ""up"": 1.9603174603174602}","{""down"": 13, ""left"": 13, ""right"": 14, ""up"": 4}"
1,1,down,155.023,24,179.031,184.0314,22.254,"{""down"": 22.25396825396825, ""left"": 27.48412698412699, ""right"": 4.436507936507936, ""up"": 12.023809523809522}","{""down"": 41, ""left"": 50, ""right"": 8, ""up"": 22}"
1,2,left,184.0317,24,208.0378,213.0407,43.2778,"{""down"": 6.888888888888889, ""left"": 43.27777777777775, ""right"": 15.761904761904761, ""up"": 24.484126984126995}","{""down"": 13, ""left"": 80, ""right"": 30, ""up"": 45}"
1,3,up,213.041,24,237.0493,242.0519,41.5714,"{""down"": 23.500000000000007, ""left"": 7.3888888888888875, ""right"": 31.31746031746033, ""up"": 41.57142857142854}","{""down"": 45, ""left"": 14, ""right"": 58, ""up"": 76}"
2,0,right,242.0522,24,266.0592,271.0614,40.0,"{""down"": 28.18253968253969, ""left"": 16.26190476190476, ""right"": 39.999999999999986, ""up"": 10.3015873015873}","{""down"": 53, ""left"": 30, ""right"": 75, ""up"": 18}"
2,1,down,271.0618,24,295.065,300.0653,28.1825,"{""down"": 28.18253968253969, ""left"": 16.26190476190476, ""right"": 0, ""up"": 10.3015873015873}","{""down"": 53, ""left"": 30, ""right"": 0, ""up"": 18}"
2,2,left,300.0657,24,324.0705,329.0712,16.2619,"{""down"": 0, ""left"": 16.26190476190476, ""right"": 0, ""up"": 10.3015873015873}","{""down"": 0, ""left"": 30, ""right"": 0, ""up"": 18}"
